# Region type : patch atm
# Faces       : 5208
# Area        : 2.420000e+02
# Scale factor: 1.000000e+00
# Time        	sum(rhoPhi)
17.55         	-1.268468e+02
17.6          	-1.272430e+02
17.65         	-1.274986e+02
17.7          	-1.278472e+02
17.75         	-1.280513e+02
17.7917       	-1.283431e+02
17.8333       	-1.285209e+02
17.875        	-1.287633e+02
17.9167       	-1.289359e+02
17.9583       	-1.291624e+02
18            	-1.292989e+02
18.0417       	-1.294915e+02
18.0833       	-1.295817e+02
18.125        	-1.297586e+02
18.1667       	-1.298500e+02
18.2083       	-1.299776e+02
18.25         	-1.300643e+02
18.2917       	-1.301744e+02
18.3333       	-1.302297e+02
18.375        	-1.302912e+02
18.4167       	-1.303404e+02
18.4583       	-1.303944e+02
18.5          	-1.304286e+02
18.5417       	-1.304579e+02
18.5833       	-1.304513e+02
18.625        	-1.304470e+02
18.6667       	-1.304278e+02
18.7083       	-1.304162e+02
18.75         	-1.303848e+02
18.7917       	-1.303787e+02
18.8333       	-1.303503e+02
18.875        	-1.302992e+02
18.9167       	-1.302329e+02
18.9583       	-1.301711e+02
19            	-1.300923e+02
19.0417       	-1.300190e+02
19.0833       	-1.299491e+02
19.125        	-1.298927e+02
19.1667       	-1.298046e+02
19.2083       	-1.297156e+02
19.25         	-1.296073e+02
19.2917       	-1.295050e+02
19.3333       	-1.293831e+02
19.375        	-1.292793e+02
19.4167       	-1.291532e+02
19.4583       	-1.290438e+02
19.5          	-1.289132e+02
19.5417       	-1.287976e+02
19.5833       	-1.286632e+02
19.625        	-1.285491e+02
19.6667       	-1.284089e+02
19.7083       	-1.282991e+02
19.75         	-1.281624e+02
19.7917       	-1.280454e+02
19.8333       	-1.278991e+02
19.875        	-1.277773e+02
19.9167       	-1.276497e+02
19.9583       	-1.275286e+02
20            	-1.273948e+02
20.0417       	-1.272715e+02
20.0833       	-1.271493e+02
20.125        	-1.270205e+02
20.1667       	-1.268885e+02
20.2083       	-1.267592e+02
20.25         	-1.266344e+02
20.2917       	-1.265106e+02
20.3333       	-1.263868e+02
20.375        	-1.262563e+02
20.4167       	-1.261276e+02
20.4583       	-1.259905e+02
20.5          	-1.258601e+02
20.5417       	-1.257267e+02
20.5833       	-1.255978e+02
20.625        	-1.254722e+02
20.6667       	-1.253427e+02
20.7083       	-1.252114e+02
20.75         	-1.250741e+02
20.7917       	-1.249452e+02
20.8333       	-1.248144e+02
20.875        	-1.246918e+02
20.9167       	-1.245686e+02
20.9583       	-1.244526e+02
21            	-1.243360e+02
21.0417       	-1.242210e+02
21.0833       	-1.241032e+02
21.125        	-1.239841e+02
21.1667       	-1.238591e+02
21.2083       	-1.237323e+02
21.25         	-1.236147e+02
21.2917       	-1.234949e+02
21.3333       	-1.233699e+02
21.375        	-1.232446e+02
21.4167       	-1.231353e+02
21.4583       	-1.230330e+02
21.5          	-1.229317e+02
21.5417       	-1.228220e+02
21.5833       	-1.227076e+02
21.625        	-1.225867e+02
21.6667       	-1.224634e+02
21.7083       	-1.223401e+02
21.75         	-1.222178e+02
21.7917       	-1.220960e+02
21.8333       	-1.219869e+02
21.875        	-1.218881e+02
21.9167       	-1.217930e+02
21.9583       	-1.216922e+02
22            	-1.215808e+02
22.0417       	-1.214629e+02
22.0833       	-1.213444e+02
22.125        	-1.212272e+02
22.1667       	-1.211108e+02
22.2083       	-1.209921e+02
22.25         	-1.208746e+02
22.2917       	-1.207661e+02
22.3333       	-1.206680e+02
22.375        	-1.205708e+02
22.4167       	-1.204689e+02
22.4583       	-1.203566e+02
22.5          	-1.202396e+02
22.5417       	-1.201229e+02
22.5833       	-1.200108e+02
22.625        	-1.199026e+02
22.6667       	-1.197956e+02
22.7083       	-1.196921e+02
22.75         	-1.195976e+02
22.7917       	-1.195046e+02
22.8333       	-1.194100e+02
22.875        	-1.193071e+02
22.9167       	-1.192025e+02
22.9583       	-1.190999e+02
23            	-1.189983e+02
23.0417       	-1.188962e+02
23.0833       	-1.187917e+02
23.125        	-1.186848e+02
23.1667       	-1.185874e+02
23.2083       	-1.184976e+02
23.25         	-1.184101e+02
23.2917       	-1.183144e+02
23.3333       	-1.182139e+02
23.375        	-1.181153e+02
23.4167       	-1.180239e+02
23.4583       	-1.179311e+02
23.5          	-1.178327e+02
23.5417       	-1.177298e+02
23.5833       	-1.176375e+02
23.625        	-1.175525e+02
23.6667       	-1.174691e+02
23.7083       	-1.173765e+02
23.75         	-1.172803e+02
23.7917       	-1.171919e+02
23.8333       	-1.171060e+02
23.875        	-1.170204e+02
23.9167       	-1.169275e+02
23.9583       	-1.168290e+02
24            	-1.167392e+02
24.0417       	-1.166617e+02
24.0833       	-1.165820e+02
24.125        	-1.164920e+02
24.1667       	-1.163960e+02
24.2083       	-1.163093e+02
24.25         	-1.162346e+02
24.2917       	-1.161594e+02
24.3333       	-1.160685e+02
24.375        	-1.159737e+02
24.4167       	-1.158911e+02
24.4583       	-1.158196e+02
24.5          	-1.157464e+02
24.5417       	-1.156613e+02
24.5833       	-1.155730e+02
24.625        	-1.154943e+02
24.6667       	-1.154186e+02
24.7083       	-1.153424e+02
24.75         	-1.152529e+02
24.7917       	-1.151581e+02
24.8333       	-1.150726e+02
24.875        	-1.150013e+02
24.9167       	-1.149397e+02
24.9583       	-1.148727e+02
25            	-1.147932e+02
25.0417       	-1.147136e+02
25.0833       	-1.146365e+02
25.125        	-1.145632e+02
25.1667       	-1.144798e+02
25.2083       	-1.143956e+02
25.25         	-1.143105e+02
25.2917       	-1.142328e+02
25.3333       	-1.141633e+02
25.375        	-1.140910e+02
25.4167       	-1.140137e+02
25.4583       	-1.139387e+02
25.5          	-1.138680e+02
25.5417       	-1.137910e+02
25.5833       	-1.137057e+02
25.625        	-1.136158e+02
25.6667       	-1.135290e+02
25.7083       	-1.134522e+02
25.75         	-1.133825e+02
25.7917       	-1.133145e+02
25.8333       	-1.132421e+02
25.875        	-1.131708e+02
25.9167       	-1.131000e+02
25.9583       	-1.130272e+02
26            	-1.129453e+02
26.0417       	-1.128540e+02
26.0833       	-1.127647e+02
26.125        	-1.126822e+02
26.1667       	-1.126120e+02
26.2083       	-1.125434e+02
26.25         	-1.124790e+02
26.2917       	-1.124132e+02
26.3333       	-1.123415e+02
26.375        	-1.122651e+02
26.4167       	-1.121848e+02
26.4583       	-1.120995e+02
26.5          	-1.120161e+02
26.5417       	-1.119339e+02
26.5833       	-1.118648e+02
26.625        	-1.117987e+02
26.6667       	-1.117347e+02
26.7083       	-1.116667e+02
26.75         	-1.115886e+02
26.7917       	-1.115085e+02
26.8333       	-1.114336e+02
26.875        	-1.113557e+02
26.9167       	-1.112790e+02
26.9583       	-1.112003e+02
27            	-1.111259e+02
27.0417       	-1.110562e+02
27.0833       	-1.109866e+02
27.125        	-1.109130e+02
27.1667       	-1.108363e+02
27.2083       	-1.107603e+02
27.25         	-1.106890e+02
27.2917       	-1.106186e+02
27.3333       	-1.105424e+02
27.375        	-1.104601e+02
27.4167       	-1.103860e+02
27.4583       	-1.103239e+02
27.5          	-1.102560e+02
27.5417       	-1.101784e+02
27.5833       	-1.100941e+02
27.625        	-1.100219e+02
27.6667       	-1.099578e+02
27.7083       	-1.098918e+02
27.75         	-1.098253e+02
27.7917       	-1.097497e+02
27.8333       	-1.096764e+02
27.875        	-1.096106e+02
27.9167       	-1.095413e+02
27.9583       	-1.094651e+02
28            	-1.093877e+02
28.0417       	-1.093150e+02
28.0833       	-1.092498e+02
28.125        	-1.091835e+02
28.1667       	-1.091197e+02
28.2083       	-1.090480e+02
28.25         	-1.089809e+02
28.2917       	-1.089147e+02
28.3333       	-1.088469e+02
28.375        	-1.087757e+02
28.4167       	-1.087005e+02
28.4583       	-1.086254e+02
28.5          	-1.085565e+02
28.5417       	-1.084988e+02
28.5833       	-1.084435e+02
28.625        	-1.083809e+02
28.6667       	-1.083020e+02
28.7083       	-1.082255e+02
28.75         	-1.081597e+02
28.7917       	-1.080939e+02
28.8333       	-1.080289e+02
28.875        	-1.079586e+02
28.9167       	-1.078854e+02
28.9583       	-1.078278e+02
29            	-1.077695e+02
29.0417       	-1.077080e+02
29.0833       	-1.076281e+02
29.125        	-1.075471e+02
29.1667       	-1.074815e+02
29.2083       	-1.074178e+02
29.25         	-1.073601e+02
29.2917       	-1.072967e+02
29.3333       	-1.072261e+02
29.375        	-1.071620e+02
29.4167       	-1.071047e+02
29.4583       	-1.070426e+02
29.5          	-1.069638e+02
29.5417       	-1.068795e+02
29.5833       	-1.068174e+02
29.625        	-1.067610e+02
29.6667       	-1.067079e+02
29.7083       	-1.066495e+02
29.75         	-1.065878e+02
29.7917       	-1.065161e+02
29.8333       	-1.064558e+02
29.875        	-1.063965e+02
29.9167       	-1.063262e+02
29.9583       	-1.062485e+02
30            	-1.061880e+02
30.0417       	-1.061309e+02
30.0833       	-1.060768e+02
30.125        	-1.060242e+02
30.1667       	-1.059652e+02
30.2083       	-1.058989e+02
30.25         	-1.058315e+02
30.2917       	-1.057689e+02
30.3333       	-1.057053e+02
30.375        	-1.056372e+02
30.4167       	-1.055775e+02
30.4583       	-1.055153e+02
30.5          	-1.054546e+02
30.5417       	-1.054130e+02
30.5833       	-1.053581e+02
30.625        	-1.052999e+02
30.6667       	-1.052249e+02
30.7083       	-1.051540e+02
30.75         	-1.050999e+02
30.7917       	-1.050396e+02
30.8333       	-1.049868e+02
30.875        	-1.049263e+02
30.9167       	-1.048612e+02
30.9583       	-1.048225e+02
31            	-1.047704e+02
31.0417       	-1.047138e+02
31.0833       	-1.046388e+02
31.125        	-1.045676e+02
31.1667       	-1.045134e+02
31.2083       	-1.044586e+02
31.25         	-1.044103e+02
31.2917       	-1.043530e+02
31.3333       	-1.042929e+02
31.375        	-1.042378e+02
31.4167       	-1.041894e+02
31.4583       	-1.041329e+02
31.5          	-1.040643e+02
31.5417       	-1.039943e+02
31.5833       	-1.039310e+02
31.625        	-1.038746e+02
31.6667       	-1.038218e+02
31.7083       	-1.037703e+02
31.75         	-1.037190e+02
31.7917       	-1.036539e+02
31.8333       	-1.035996e+02
31.875        	-1.035453e+02
31.9167       	-1.034854e+02
31.9583       	-1.034177e+02
32            	-1.033508e+02
32.0417       	-1.032880e+02
32.0833       	-1.032241e+02
32.125        	-1.031752e+02
32.1667       	-1.031253e+02
32.2083       	-1.030796e+02
32.25         	-1.030266e+02
32.2917       	-1.029624e+02
32.3333       	-1.028959e+02
32.375        	-1.028347e+02
32.4167       	-1.027726e+02
32.4583       	-1.027098e+02
32.5          	-1.026450e+02
32.5417       	-1.025934e+02
32.5833       	-1.025474e+02
32.625        	-1.025052e+02
32.6667       	-1.024518e+02
32.7083       	-1.023883e+02
32.75         	-1.023178e+02
32.7917       	-1.022554e+02
